AA;MM;DD;HH;NM;MM;MA;Procedencia
2024;1;9;15;402.6;3;399.6;1
2024;1;9;16;359.5;3.7;355.8;1
2024;1;9;17;296;2.7;293.3;1
2024;1;9;18;229.9;1.4;228.5;1
2024;1;9;19;180.4;0.3;180.1;1
2024;1;9;20;160.4;-1.2;161.6;1
2024;1;9;21;176.3;-1;177.3;1
2024;1;9;22;223.7;1.1;222.6;1
2024;1;9;23;290;3.1;286.9;1
2024;1;10;0;359.5;4.4;355.1;1
2024;1;10;1;414.9;4.8;410.1;1
2024;1;10;2;442.1;4.3;437.8;1
2024;1;10;3;434.9;3.6;431.3;1
2024;1;10;4;395.6;4.1;391.5;1
2024;1;10;5;330.2;4.1;326.1;1
2024;1;10;6;254.6;3.9;250.7;1
2024;1;10;7;188.8;3;185.8;1
2024;1;10;8;152.3;2.5;149.8;1
2024;1;10;9;153.9;3.2;150.7;1
2024;1;10;10;187.8;2;185.8;1
2024;1;10;11;245.5;-0.2;245.7;1
2024;1;10;12;316.4;-0.1;316.5;1
2024;1;10;13;383.3;1.8;381.5;1
2024;1;10;14;426.9;2.6;424.3;1
2024;1;10;15;436.4;1.9;434.5;1
2024;1;10;16;411.7;2.4;409.3;1
2024;1;10;17;354.8;1.3;353.5;1
2024;1;10;18;278.2;-1.1;279.3;1
2024;1;10;19;203.1;-3.6;206.7;1
2024;1;10;20;151.3;-5.9;157.2;1
2024;1;10;21;138.4;-6.8;145.2;1
2024;1;10;22;166.8;-5.5;172.3;1
2024;1;10;23;227.7;-3.2;230.9;1
2024;1;11;0;304.9;-2.3;307.2;1
2024;1;11;1;382.6;-0.9;383.5;1
2024;1;11;2;439.5;-0.8;440.3;1
2024;1;11;3;460;-3;463;1
2024;1;11;4;442.8;-3.4;446.2;1
2024;1;11;5;389.7;-3.2;392.9;1
2024;1;11;6;308.7;-4.8;313.5;1
2024;1;11;7;221;-5.9;226.9;1
2024;1;11;8;152.2;-5.2;157.4;1
2024;1;11;9;121.3;-3.4;124.7;1
2024;1;11;10;132;-3;135;1
2024;1;11;11;179.1;-3.5;182.6;1
2024;1;11;12;251.8;-3.3;255.1;1
2024;1;11;13;334;-1.9;335.9;1
2024;1;11;14;404.4;-1.1;405.5;1
2024;1;11;15;443.8;-2.3;446.1;1
2024;1;11;16;445.5;-2.8;448.3;1
2024;1;11;17;408.6;-3.4;412;1
2024;1;11;18;337.9;-6.1;344;1
2024;1;11;19;250.5;-9.1;259.6;1
2024;1;11;20;171.7;-10.7;182.4;1
2024;1;11;21;126.2;-10.2;136.4;1
2024;1;11;22;126.2;-8.2;134.4;1
2024;1;11;23;166.8;-7.9;174.7;1
2024;1;12;0;239.1;-7;246.1;1
2024;1;12;1;327.8;-4.8;332.6;1
2024;1;12;2;409.1;-4.7;413.8;1
2024;1;12;3;461.7;-6.8;468.5;1
2024;1;12;4;473.9;-9;482.9;1
2024;1;12;5;443.9;-10.2;454.1;1
2024;1;12;6;376.6;-10.7;387.3;1
2024;1;12;7;283.6;-11.8;295.4;1
2024;1;12;8;188.6;-12.2;200.8;1
2024;1;12;9;120;-11.2;131.2;1
2024;1;12;10;95.2;-10.6;105.8;1
2024;1;12;11;116.7;-10.9;127.6;1
2024;1;12;12;176.4;-11.1;187.5;1
2024;1;12;13;259.8;-10.7;270.5;1
2024;1;12;14;348.6;-9.1;357.7;1
2024;1;12;15;419.8;-7.4;427.2;1
2024;1;12;16;454.7;-6.7;461.4;1
2024;1;12;17;446.8;-6.8;453.6;1
2024;1;12;18;398.4;-7.6;406;1
2024;1;12;19;317.6;-10;327.6;1
2024;1;12;20;224.4;-12.1;236.5;1
2024;1;12;21;147.5;-12.2;159.7;1
2024;1;12;22;110.6;-10.9;121.5;1
2024;1;12;23;121.7;-9.9;131.6;1
2024;1;13;0;175.8;-8.6;184.4;1
2024;1;13;1;259.1;-7.3;266.4;1
2024;1;13;2;352.7;-6.8;359.5;1
2024;1;13;3;434.5;-6.6;441.1;1
2024;1;13;4;482.9;-6.8;489.7;1
2024;1;13;5;486.8;-7.1;493.9;1
2024;1;13;6;445.9;-7.5;453.4;1
2024;1;13;7;367.6;-7.6;375.2;1
2024;1;13;8;267.3;-7.1;274.4;1
2024;1;13;9;169.9;-7.1;177;1
2024;1;13;10;105.7;-6.5;112.2;1
2024;1;13;11;90.7;-6.4;97.1;1
2024;1;13;12;124.3;-6.1;130.4;1
2024;1;13;13;195.3;-4.8;200.1;1
2024;1;13;14;284.8;-4.8;289.6;1
2024;1;13;15;373.4;-4.4;377.8;1
2024;1;13;16;439.6;-2.4;442;1
2024;1;13;17;464.9;-2;466.9;1
2024;1;13;18;446;-2.8;448.8;1
2024;1;13;19;387.5;-4.4;391.9;1
2024;1;13;20;300.1;-6.6;306.7;1
2024;1;13;21;207.4;-6.5;213.9;1
2024;1;13;22;137.5;-5.1;142.6;1
2024;1;13;23;110.4;-4.9;115.3;1
2024;1;14;0;132.6;-4.7;137.3;1
2024;1;14;1;196.7;-3.3;200;1
2024;1;14;2;284.9;-3.7;288.6;1
2024;1;14;3;379.6;-3.6;383.2;1
2024;1;14;4;458.5;-1.8;460.3;1
2024;1;14;5;499.1;-0.9;500;1
2024;1;14;6;493;-0.9;493.9;1
2024;1;14;7;443.7;-0.2;443.9;1
2024;1;14;8;359.1;1.1;358;1
2024;1;14;9;254.6;0.9;253.7;1
2024;1;14;10;160.1;0.5;159.6;1
2024;1;14;11;105;0.7;104.3;1
2024;1;14;12;102.8;2.3;100.5;1
2024;1;14;13;147.9;4.9;143;1
2024;1;14;14;224.5;6;218.5;1
2024;1;14;15;314;5.1;308.9;1
